# 词 	 拼音 	 题型 	 词源 	 释义 	 释义来源 	 例句 	 例句出处 	 课本里出现次数
口讷	kǒu nè	写	词典	亦作口呐；说话迟钝	新华	估量了对手，{口讷}的他便骂	阿Q正传（节选）	2
叮咣	dīng guāng	写	词典	形容金属物体敲击振动声	新华	幕布放下，只说就要出场了，却又叮{叮咣}咣不停。	秦腔	2
吞噬	tūn shì	写	词典	吞食；大口吃饥来吞噬取肠饱	新华	不致被喧嚣的情绪倾覆或{吞噬}。	第四单元	2
周公吐哺	zhōu gōng tǔ bǔ	读	课本	《史记·鲁周公世家》记载，周公广纳贤才，正吃饭时，听到门外有士子求见，来不及咽下嘴里的食物，把食物一吐就赶紧去接见	课本	{周公吐哺}，天下归心。	短歌行	2
呱呱	gū gū	写	词典	小儿哭声～而泣。另见guāguā	新华	妪又曰：“汝姊在吾怀，{呱呱}而泣；娘以指叩门扉曰：‘儿寒乎？	项脊轩志	2
呼哧	hū chī	写	词典			他一肩背枪，一肩挂了一杆秤；左手挎了一篮鸡蛋，右手提了一口大锅，{呼哧}呼哧地走来。	百合花	2
咂摸	zā mō	写	词典	体会;品辨	新华	我这儿正{咂摸}这个味儿：咱们一个人身上有多少洋玩意儿啊！	茶馆（节选）	2
咎言	jiù yán	写	词典	不祥之语	课本	尔卜尔筮，体无{咎言}。	氓	2
咕嘟	gū dū	写	词典	象声词，液体沸腾、水流涌出或大口喝水的声音锅里的粥～～响ㄧ泉水～～地往外冒ㄧ小刘端起一碗水，～～地喝了下去	新华	她压根儿就没有注意到，旁边满满的一大壶咖啡被碰倒了，咖啡正{咕嘟}咕嘟地往地毯上流淌。	变形记（节选）	2
咨嗟	zī jiē	写	词典	叹息	课本	蜀道之难，难于上青天，侧身西望长{咨嗟}！	蜀道难	2
喟然	kuì rán	都考	课本	叹息的样子	课本	夫子{喟然}叹曰：“吾与点也！”	子路、曾皙、冉有、公西华侍坐	2
喧豗	xuān huī	都考	课本	形容轰响	课本	飞湍瀑流争{喧豗}，砯崖转石万壑雷。	蜀道难	2
嗔怨	chēn yuàn	写	词典	生气，埋怨	新华			2
嗟悼	jiē dào	写	词典	叹息哀伤	课本	每览昔人兴感之由，若合一契，未尝不临文{嗟悼}，不能喻之于怀。	兰亭集序	2
嘎吱	gā zhī	写	词典	象声词，形容物件受压力而发出的声音（多重叠用）他挑着行李，扁担压得～～的响	新华	它肚皮朝上，扑打着尾巴，嘴巴{嘎吱}作响，像一艘快艇似的破浪前进，尾巴在海上溅起白色的浪花。	老人与海（节选）	2
嘲哳	zhāo zhā	都考	词典			岂无山歌与村笛，呕哑{嘲哳}难为听。	琵琶行并序	2
噫吁嚱	yī xū xī	都考	课本	三个字都是叹词	课本	{噫吁嚱}，危乎高哉！	蜀道难	2
囷囷	qūn qūn	写	词典	曲折回旋貌	新华	盘盘焉，{囷囷}焉，蜂房水涡，矗不知其几千万落。	阿房宫赋	2
壬戌	rén xū	读	课本	宋神宗元丰五年（1082）	课本	{壬戌}之秋，七月既望，苏子与客泛舟游于赤壁之下。	赤壁赋	2
天堑	tiān qiàn	写	词典	天然壕沟	课本	云树绕堤沙，怒涛卷霜雪，{天堑}无涯。	望海潮	2
央浼	yāng měi	写	词典	亦作央凂；恳求;请求	新华	太尉特使俺两个{央浼}二位干这件事。	林教头风雪山神庙	2
契阔谈讌	qì kuò tán yàn	都考	课本	久别重逢，欢饮畅谈	课本	{契阔谈讌}，心念旧恩。	短歌行	2
奚落	xī luò	写	词典	用尖酸刻薄的话揭人短处，使人难堪落魄时遭人奚落，意不少屈	新华	向来只被他{奚落}，从没有奚落他	阿Q正传（节选）	2
女娲	nǚ wā	写	词典	神话传说中的古帝名。参见女娲氏；相传为夏禹之妃，涂山氏之女	新华	{女娲}炼石补天处，石破天惊逗秋雨。	李凭箜篌引	2
好大喜功	hào dà xǐ gōng	读	成语	指不管条件是否许可，一心想做大事立大功。多用以形容浮夸的作风	成语	{好大喜功}则为宇宙汪洋所吞没，开动脑筋则领悟世界。	宇宙的边疆	2
好景不长	hǎo jǐng bù cháng	读	成语	景境况，光景；长长久。美好的光景不能永远存在	成语	{好景不长}啊，他想。	老人与海（节选）	2
妃嫔	fēi pín	写	词典	妃和嫔，泛指皇帝的妾	新华	{妃嫔}媵嫱，王子皇孙，辞楼下殿，辇来于秦。	阿房宫赋	2
娴静	xián jìng	写	词典	亦作娴静；文雅安详	新华			2
娼妓	chāng jì	写	词典	原指从事歌舞的女艺人，后称卖淫的女子	新华	“死{娼妓}，你倒有本领	包身工	2
嫁奁	jià lián	写	词典	陪嫁的财物	新华	我就把这一个诅咒送给你做{嫁奁}	哈姆莱特（节选）	2
嫠妇	lí fù	写	词典			舞幽壑之潜蛟，泣孤舟之{嫠妇}。	赤壁赋	2
孑然一身	jié rán yī shēn	写	成语	孑单独。孤孤单单一个人	成语	这使我知道，一个小生命是怎样鄙弃了一切浮夸，{孑然一身}担当着一个大宇宙。	一个消逝了的山村	2
孜孜	zī zī	写	词典	①勤勉；不懈怠孜孜不怠｜孜孜狳幔孜孜汲汲。②专心一意孜孜营求	新华	从此我便{孜孜}不倦地搜寻大厅中那一个个高高的书架	读书：目的和前提	2
孝悌	xiào tì	都考	课本	善事父母为“孝”，敬爱兄长为“悌”	课本	谨庠序之教，申之以{孝悌}之义	齐桓晋文之事	2
孤孀	gū shuāng	写	词典	①孤儿寡妇。②寡妇	新华			2
孤苦伶仃	gū kǔ líng dīng	写	成语	伶仃孤独，没有依靠。孤单困苦，没有依靠	成语	臣少多疾病，九岁不行。零丁孤苦，至于成立。	《陈情表》	2
孺子	rú zi	写	词典	幼儿，儿童；古代称天子、诸侯、世卿的继承人	新华	今人乍见{孺子}将入于井	人皆有不忍人之心	2
审谛	shěn dì	写	词典	亦作审諟；慎密	新华	{审谛}之，短小，黑赤色，顿非前物。	促织	2
导大窾	dǎo dà kuǎn	都考	课本	引刀进入（骨节之间的）空处	课本	依乎天理，批大郤，{导大窾}，因其固然，技经肯綮之未尝，而况大軱乎！	庖丁解牛	2
小妞儿	xiǎo niū er	写	词典			这大概就是她的{小妞儿}。	党费	2
小觑	xiǎo qù	写	词典	犹小看	新华	因此他们也便{小觑}了他么？	阿Q正传（节选）	2
尔卜尔筮	ěr bo ěr shì	都考	课本	你用龟板占卜，用蓍（shī）草占卦	课本	{尔卜尔筮}，体无咎言。	氓	2
尺有咫	chǐ yǒu zhǐ	都考	课本	一尺多	课本	幸啄不中，虫跃去{尺有咫}。	促织	2
尽态极妍	jìn tài jí yán	都考	成语	尽极好；态仪态；妍美丽。容貌姿态美丽娇艳到极点	成语	一肌一容，{尽态极妍}，缦立远视，而望幸焉。	阿房宫赋	2
岌岌	jí jí	写	词典	高耸的样子	课本	高余冠之{岌岌}兮，长余佩之陆离。	离骚（节选）	2
岐山	qí shān	写	词典	山名。在今陕西省岐山县境。上古称岐	新华	凤翔，长武，{岐山}	秦腔	2
峥嵘岁月	zhēng róng suì yuè	写	成语	峥嵘不平凡，不寻常。形容不平凡的年月	成语	忆往昔{峥嵘岁月}稠。	沁园春·长沙	2
崤函之固	xiáo hán zhī gù	写	成语	比喻地势十分险要	成语	秦孝公据{崤函之固}	过秦论	2
嵩山	sōng shān	写	词典	山名。在河南省登封县北，为五岳之中岳。古称外方、太室，又名崇高、嵩高	新华			2
左伊秩訾	zuǒ yī zhì zī	都考	课本	匈奴王号	课本	{左伊秩訾}曰：“即谋单于，何以复加？	苏武传	2
平仄	píng zè	写	词典	指古汉语字调的平声和仄声。仄声包括上、去、入三声	新华	北方人念阵字，总老像是层字，平{平仄}仄起来，这念错的歧韵，倒来得正好。	故都的秋	2
广袤	guǎng mào	写	词典			唯一典型的地方在{广袤}、寒冷的宇宙真空之中，在星际空间永恒的黑夜里。	宇宙的边疆	2
应有尽有	yīng yǒu jìn yǒu	读	成语	该有的全都有。形容很齐全	成语	人所{应有尽有}，人所应无尽无，其江智渊乎！	《宋书·江智渊传》	2
庠序	xiáng xù	写	词典	古代的地方学校◇也泛称学校或教育事业设庠序以化于邑｜学子愤慨于庠序，商贾喧噪于廛市	新华	谨{庠序}之教，申之以孝悌之义	齐桓晋文之事	2
庭柯	tíng kē	写	词典	庭园中的树木	新华	引壶觞以自酌，眄{庭柯}以怡颜。	归去来兮辞并序	2
廪食	lǐn shí	写	词典	仓储的粮食；公家供给口粮	新华	武既至海上，{廪食}不至，掘野鼠去草实而食之。	苏武传	2
弋射	yì shè	写	词典	用绳系在箭上射猎	课本	积五六年，单于弟於靬王{弋射}海上。	苏武传	2
形骸之外	xíng hái zhī wài	写	词典			或取诸怀抱，悟言一室之内；或因寄所托，放浪{形骸之外}。	兰亭集序	2
征戍	zhēng shù	写	词典	远行屯守边疆	新华	开元二十六年，客有从元戎出塞而还者，作《燕歌行》以示，适感{征戍}之事，因而和焉。	燕歌行并序	2
徂徕	cú lái	都考	课本	山名，在泰安城东南	课本	望晚日照城郭，汶水、{徂徕}如画，而半山居雾若带然。	登泰山记	2
忖度	cǔn duó	都考	词典	推测；思量	新华	王说，曰：“《诗》云：‘他人有心，予{忖度}之。’	齐桓晋文之事	2
怀瑾握瑜	huái jǐn wò yú	写	成语	比喻保持高洁美好的节操志向	课本	何故{怀瑾握瑜}，而自令见放为？”	屈原列传	2
怂恿	sǒng yǒng	写	词典			在风的{怂恿}下“豁啷啷”地歌唱。	哦，香雪	2
怜悧	lián lì	写	词典	机灵;聪明；干净利落	新华	然而她总如此，全不见有{怜悧}起来的希望。	祝福	2
急遽	jí jù	写	词典			2. 狄更斯的小说反映了工业革命时期{急遽}变革的英国社会的风貌	百年孤独（节选）	2
怪癖	guài pǐ	写	词典			认定儿女们的{怪癖}与猪尾巴同样可怕时	百年孤独（节选）	2
恣欢谑	zì huān xuè	都考	课本	尽情地欢乐戏谑	课本	陈王昔时宴平乐，斗酒十千{恣欢谑}。	将进酒	2
恣肆	zì sì	写	词典	①放纵，没有顾忌骄横恣肆。②酣畅淋漓地肆意发挥听其言汪洋恣肆	新华	后者奔放{恣肆}，不拘格律	树和天空	2
恪守	kè shǒu	写	词典	严格遵守～中立ㄧ～不渝	新华	或要我{恪守}的教诲	我与地坛（节选）	2
恫吓	dòng hè	都考	词典	威吓；吓（xià）唬不怕武力～	新华	哪怕众人对我施加更大的{恫吓}	人应当坚持正义	2
恶施	wū shī	读	课本	怎么实行	课本	视父兄与君若其身，{恶施}不孝？	兼爱	2
悚然	sǒng rán	写	词典	惧怕的样子毛骨悚然｜面露悚然之色	新华	自己的灵魂有些担当不起，感到{悚然}	一个消逝了的山村	2
惘然	wǎng rán	写	词典	模糊不清的样子	课本	此情可待成追忆，只是当时已{惘然}。	锦瑟	2
惨怛	cǎn dá	都考	课本	忧伤，悲痛	课本	人穷则反本，故劳苦倦极，未尝不呼天也；疾痛{惨怛}，未尝不呼父母也。	屈原列传	2
戛然而止	jiá rán ér zhǐ	写	成语	戛象声词。形容声音突然终止	成语	夫文章变化，侔于鬼神，斗然而来，{戛然而止}，何尝无此景象？	《文史统义·古文十弊》	2
户牖	hù yǒu	都考	课本	门窗	课本	凿{户牖}以为室，当其无，有室之用。	《老子》四章	2
批大郤	pī dà xì	都考	课本	击入大的（筋骨连接处的）缝隙	课本	依乎天理，{批大郤}，导大窾，因其固然，技经肯綮之未尝，而况大軱乎！	庖丁解牛	2
折辕	zhé yuán	写	词典	《后汉书．张堪传》堪去职之日，乘折辕车，布被囊而已。折辕，车辕折断	新华	前长君为奉车，从至雍棫阳宫，扶辇下除，触柱{折辕}，劾大不敬，伏剑自刎，赐钱二百万以葬。	苏武传	2
拳拳服膺	quán quán fú yīng	写	成语	拳拳紧握不舍，引伸为恳切；服膺铭记心中。形容恳切地牢记不忘	成语	得一善，则{拳拳服膺}而弗失之矣。	《礼记·中庸》	2
按剑而跽	àn jiàn ér jì	都考	课本	握着剑，挺直身子	课本	项王{按剑而跽}曰：“客何为者？”	鸿门宴	2
接踵	jiē zhǒng	写	词典	后面的人的脚尖接着前面的人的脚跟。形容人多，接连不断摩肩～ㄧ～而来	新华	得巨大发展，处理语音的电子设备{接踵}而生，如留声机、录音机、麦克风、扩音机、电话机等。	第四单元	2
掸尘	dǎn chén	写	词典	洗尘；大扫除	新华	像上文所提到的晒衣物、{掸尘}等	第四单元	2
提纲挈领	tí gāng qiè lǐng	写	成语	纲鱼网的总绳；挈提起。抓住网的总绳，提住衣的领子。比喻抓住要领，简明扼要	成语	{提纲挈领}，权衡利弊	树和天空	2
搏髀	bó bì	都考	课本	唱歌时拍打大腿以应和节拍	课本	夫击瓮叩缶，弹筝{搏髀}	谏逐客书	2
搔首踟蹰	sāo shǒu chí chú	都考	课本	以手指挠头，徘徊不进	课本	爱而不见，{搔首踟蹰}。	静女	2
摇头晃脑	yáo tóu huàng nǎo	读	成语	晃摇动。脑袋摇来摇去。形容自己感觉很有乐趣或自己认为很不差的样子	成语	{摇头晃脑}的读起来，真是音调铿锵，使人不自觉其头晕。	《二心集·善于翻译的通信》	2
攒拥	zǎn yōng	写	词典	丛聚;簇拥	新华	台下坐的、站的人头{攒拥}	秦腔	2
攘诟	rǎng gòu	写	词典	容忍耻辱；争吵诟骂	新华	屈心而抑志兮，忍尤而{攘诟}。	离骚（节选）	2
敌忾	dí kài	写	词典			他于是发生了回忆，又发生了{敌忾}了。	阿Q正传（节选）	2
斑斓	bān lán	写	词典	灿烂多彩五色～ㄧ～的玛瑙	新华	撑一支长篙，向青草更青处漫溯,满载一船星辉，在星辉{斑斓}里放歌。	再别康桥	2
斑鸠	bān jiū	写	词典	鸟，身体灰褐色，颈后有白色或黄褐色斑点，嘴短，脚淡红色	新华			2
旄节	máo jié	写	词典	古代使臣所持的符节。用作信物；镇守一方的长官所拥有的节	新华			2
旌旆	jīng pèi	都考	课本	旗帜	课本	摐金伐鼓下榆关，{旌旆}逶迤碣石间。	燕歌行并序	2
旌旗蔽空	jīng qí bì kōng	写	词典			舳舻千里，{旌旗蔽空}	赤壁赋	2
族庖	zú páo	写	词典	一般的厨师	课本	良庖岁更刀，割也；{族庖}月更刀，折也。	庖丁解牛	2
日久天长	rì jiǔ tiān cháng	读	成语	时间长，日子久	成语	第六十九回{日久天长}，这些奴才们跟前，怎么说嘴呢？	《红楼梦》	2
日薄西山	rì bó xī shān	读	成语	太阳快要落山	课本	但以刘{日薄西山}，气息奄奄，人命危浅，朝不虑夕。	陈情表	2
旧醅	jiù pēi	写	词典	陈酒，旧酿	新华	盘飧市远无兼味，樽酒家贫只{旧醅}。	客至	2
晏晏	yàn yàn	写	词典	和悦的样子	课本	总角之宴，言笑{晏晏}。	氓	2
晤谈	wù tán	写	词典	见面交谈	新华			2
晧晧	hào hào	写	词典	洁白貌	新华	宁赴常流而葬乎江鱼腹中耳，又安能以{晧晧}之白，而蒙世俗之温蠖乎？”	屈原列传	2
普陀山	pǔ tuó shān	写	词典	即普陀岛	新华	钱塘江的秋潮，{普陀山}的凉雾	故都的秋	2
曲水流觞	qū shuǐ liú shāng	写	词典					2
曲阜	qū fù	写	词典	市名。在山东省中部偏南。周武王封弟周公旦于曲阜，为鲁国都	新华			2
有所作为	yǒu suǒ zuò wéi	读	成语	可以做事情，并能取得较大的成绩	成语	人有不为也，而后可以有为。	《孟子·离娄下》	2
朝不虑夕	zhāo bù lǜ xī	读	成语	早晨不能想到晚上怎样	课本	但以刘日薄西山，气息奄奄，人命危浅，{朝不虑夕}。	陈情表	2
朝朝暮暮	zhāo zhāo mù mù	读	成语	指朝夕相守	课本	两情若是久长时，又岂在{朝朝暮暮}。	鹊桥仙	2
未成一篑	wèi chéng yī kuì	都考	课本	只差一筐土没有成功	课本	子曰：“譬如为山，{未成一篑}，止，吾止也。	《论语》十二章	2
杂糅	zá róu	写	词典	混杂糅合在一起二者不可杂糅起来｜邪正杂糅，忠谗并进	新华	芳与泽其{杂糅}兮，唯昭质其犹未亏。	离骚（节选）	2
栏楯	lán shǔn	都考	课本	栏杆	课本	又杂植兰桂竹木于庭，旧时{栏楯}，亦遂增胜。	项脊轩志	2
栖鹘	qī hú	都考	课本	宿巢的隼	课本	森然欲搏人；而山上{栖鹘}	石钟山记	2
桀骜	jié ào	写	词典	倔强～不驯（性情倔强不驯顺）	新华	总该是有些{桀骜}锋利的	记念刘和珍君	2
桌帏	zhuō wéi	写	词典	亦称桌帷。亦称桌围；围在桌子边的装饰物，多以布或绸缎做成	新华	桌子放在堂中央，系上{桌帏}，她还记得照旧的去分配酒杯和筷子。	祝福	2
桓文	huán wén	写	词典	春秋五霸中齐桓公与晋文公的并称	新华	孟子对曰：“仲尼之徒无道{桓文}之事者，是以后世无传焉，臣未之闻也。	齐桓晋文之事	2
梨园弟子	lí yuán dì zǐ	读	成语	原指唐玄宗培训的歌伶舞伎◇泛指戏剧演员	成语	{梨园弟子}白发新，椒房阿监青蛾老。	《长恨歌》	2
樊川	fán chuān	写	词典	水名。在今陕西省长安县南	新华			2
樊笼	fán lóng	写	词典	关鸟兽的笼子	课本	久在{樊笼}里，复得返自然。	归园田居（其一）	2
横槊	héng shuò	写	词典	横持长矛。指从军或习武；形容气概豪迈	新华	酾酒临江，{横槊}赋诗	赤壁赋	2
歆享	xīn xiǎng	写	词典	神灵享受供物	新华	只觉得天地圣众{歆享}了牲醴和香烟	祝福	2
残羹冷炙	cán gēng lěng zhì	写	成语	指吃剩的饭菜。也比喻别人施舍的东西	成语	残杯与冷炙，到处潜悲辛。	《奉赠韦左丞丈》	2
殒命	yǔn mìng	写	词典			她们的父亲——井陉火车站的日本副站长，受了重伤，经抢救无效{殒命}，她们的母亲也在炮火中死亡。	大战中的插曲	2
毋宁	wú nìng	都考	词典	宁可，不如。毋，发语辞	新华	{毋宁}说由于他想到这些而激动	变形记（节选）	2
汤镬	tāng huò	写	词典	煮着滚水的大锅	课本	今得杀身自效，虽蒙斧钺{汤镬}，诚甘乐之。	苏武传	2
汨罗	mì luó	写	词典	江名，在湖南东北部	课本	……于是怀石，遂自投{汨罗}以死。	屈原列传	2
泯灭	mǐn miè	写	词典			也不是要{泯灭}说话个性	第四单元	2
流纨	liú wán	写	词典	细绢	新华	腰若{流纨}素，耳著明月珰。	孔雀东南飞并序	2
涕泗	tì sì	都考	课本	眼泪鼻涕	课本	戎马关山北，凭轩{涕泗}流。	登岳阳楼	2
涟涟	lián lián	写	词典	泪流不止貌；引申为连绵不断貌	新华	不见复关，泣涕{涟涟}。	氓	2
淋漓尽致	lín lí jìn zhì	读	成语	淋漓形容湿淋淋往下滴，比喻尽情，酣畅；尽致达到极点	成语			2
混为一谈	hùn wéi yī tán	读	成语	把不同的事物混在一起，当作同样的事物谈论	成语	万口和附，并为一谈。	《平淮西碑》	2
渗漉	shèn lù	写	词典	渗漏	课本	百年老屋，尘泥{渗漉}，雨泽下注；每移案，顾视无可置者。	项脊轩志	2
温蠖	wēn huò	都考	课本	尘垢	课本	宁赴常流而葬乎江鱼腹中耳，又安能以晧晧之白，而蒙世俗之{温蠖}乎？”	屈原列传	2
游处	yóu chǔ	读	课本	同游共处，交往	课本	某启：昨日蒙教，窃以为与君实{游处}相好之日久，而议事每不合，所操之术多异故也。	答司马谏议书	2
游目骋怀	yóu mù chěng huái	写	成语	游目远眺；骋怀放开胸怀，往远处想。纵目四望，开阔心胸	成语	仰观宇宙之大，俯察品类之盛，所以{游目骋怀}，足以极视听之娱，信可乐也。	兰亭集序	2
湓浦	pén pǔ	写	词典	又叫湓江，源出江西瑞昌清湓山	课本	明年秋，送客{湓浦}口，闻舟中夜弹琵琶者，听其音，铮铮然有京都声。	琵琶行并序	2
湮没	yān mò	都考	词典	①埋没死而湮没不足道者，亦已众矣	新华	这种物质的作用形式与普通物质一样，但与普通物质接触之后它们将会{湮没}，并且猛然释放出能量。	一名物理学家的教育历程	2
滂沲	pāng tuó	写	词典	同滂沱；雨大貌	新华			2
滕王阁	téng wáng gé	写	词典	在江西省南昌市沿江路赣江边。建于公元653-659年	新华			2
滟滟	yàn yàn	写	词典	形容波光荡漾	课本	{滟滟}随波千万里，何处春江无月明。	春江花月夜	2
潦倒	liáo dǎo	都考	词典	衰颓，失意	课本	艰难苦恨繁霜鬓，{潦倒}新停浊酒杯。	登高	2
濯淖	zhuó nào	写	词典	谓浸渍	新华	自疏{濯淖}污泥之中，蝉蜕于浊秽，以浮游尘埃之外，不获世之滋垢，皭然泥而不滓者也。	屈原列传	2
瀚海	hàn hǎi	写	词典	唐代对蒙古高原大沙漠以北及其迤西今准噶尔盆地一带广大地区的泛称	课本	校尉羽书飞{瀚海}，单于猎火照狼山。	燕歌行并序	2
火钵	huǒ bō	写	词典	即火盆	新华	我坐着油漆过的安了{火钵}的炕凳	大堰河——我的保姆	2
灵鼍	líng tuó	都考	课本	即扬子鳄，古人认为有灵性，皮可蒙鼓	课本	今陛下致昆山之玉，有随、和之宝，垂明月之珠，服太阿之剑，乘纤离之马，建翠凤之旗，树{灵鼍}之鼓。	谏逐客书	2
炎炽	yán chì	写	词典	炽热	新华			2
热剌剌	rè lá lá	写	词典	形容热得难受；形容麻辣辣的感觉	新华	{热剌剌}的有些痛；打完之后	阿Q正传（节选）	2
烽烟	fēng yān	写	词典	烽火～四起	新华	{烽烟}四起，兵荒马乱，不知两个小姑娘当时是否安全回国了。	大战中的插曲	2
熙熙攘攘	xī xī rǎng rǎng	写	成语	熙熙和乐的样子；攘攘纷乱的样子。形容人来人往，非常热闹拥挤	成语	天下熙熙，皆为利来；天下攘攘，皆为利往。	《史记·货殖列传》	2
熨帖	yù tiē	都考	词典	亦作熨贴。亦作熨贴；把衣物烫平	新华	心里真觉得{熨帖}。	党费	2
牛犊	niú dú	写	词典	小牛初生牛犊不怕虎	新华	十六个结实如{牛犊}的小伙子	边城（节选）	2
猗顿	yī dùn	写	词典	春秋时鲁国人	课本	墨翟之贤，陶朱、{猗顿}之富	过秦论	2
猝然	cù rán	写	词典			冥搜未已，一癞头蟆{猝然}跃去。	促织	2
猪鬣	zhū liè	写	词典	即猪鬃	新华	试以{猪鬣}毛撩拨虫须，仍不动。	促织	2
玉帛	yù bó	写	词典			让我们化干戈为{玉帛}吧	大战中的插曲	2
玉玦	yù jué	都考	课本	环形有缺口的佩玉	课本	范增数目项王，举所佩{玉玦}以示之者三，项王默然不应。	鸿门宴	2
玉箸	yù zhù	写	词典	玉制筷子，比喻思妇的眼泪	课本	铁衣远戍辛勤久，{玉箸}应啼别离后。	燕歌行并序	2
珠玑	zhū jī	写	词典	珠宝	课本	市列{珠玑}，户盈罗绮，竞豪奢。	望海潮	2
瓮牖	wèng yǒu	写	词典	用破瓮做的窗户。指贫穷人家瓮牖绳枢之子，fd42Ａブ人	新华	然陈涉{瓮牖}绳枢之子	过秦论	2
甄别	zhēn bié	写	词典	①鉴别；审察甄别文义｜仔细甄别。②审核官员的业绩资历而区分去留	新华	要注意结合语境仔细{甄别}	第八单元	2
甘霖	gān lín	写	词典	指久旱以后所下的雨	新华	做甚么三年不见{甘霖}降？	窦娥冤（节选）	2
畏葸	wèi xǐ	写	词典	畏惧；害怕畏葸不前｜畏葸退缩，坐失事机	新华	年轻人的一个优点就是不会由于世俗的约束而{畏葸}不前	一名物理学家的教育历程	2
癞疮	lài chuāng	写	词典	恶疮;顽癣	新华	最恼人的是在他头皮上，颇有几处不知起于何时的{癞疮}疤。	阿Q正传（节选）	2
皎皎	jiǎo jiǎo	写	词典			江天一色无纤尘，{皎皎}空中孤月轮。	春江花月夜	2
盎然	àng rán	写	词典			理趣{盎然}，发人深思。	第三单元	2
盘飧	pán sūn	写	词典	盘盛食物的统称	新华	{盘飧}市远无兼味，樽酒家贫只旧醅。	客至	2
目眦	mù zì	都考	课本	眼眶	课本	哙遂入，披帷西向立，瞋目视项王，头发上指，{目眦}尽裂。	鸿门宴	2
直谏	zhí jiàn	写	词典	直言规谏	新华	然皆祖屈原之从容辞令，终莫敢{直谏}。	屈原列传	2
相与为一	xiāng yǔ wéi yī	读	成语	相与相互。相互结合成为一体	成语	诸侯恐惧，会盟而谋弱秦，不爱珍器重宝肥饶之地，以致天下之士，合从缔交，{相与为一}。	过秦论	2
相与枕藉	xiāng yǔ zhěn jiè	读	课本	互相枕着垫着	课本	{相与枕藉}乎舟中，不知东方之既白。	赤壁赋	2
相缪	xiāng móu	写	词典	见相樛	新华	西望夏口，东望武昌，山川{相缪}，郁乎苍苍，此非孟德之困于周郎者乎？	赤壁赋	2
相随属	xiāng suí zhǔ	读	课本	接连出现	课本	然亡国破家{相随属}	屈原列传	2
矜名	jīn míng	写	词典	崇尚名声	新华	且臣少仕伪朝，历职郎署，本图宦达，不{矜名}节。	陈情表	2
矜愍	jīn mǐn	写	词典	怜恤	课本	愿陛下{矜愍}愚诚，听臣微志，庶刘侥幸，保卒余年。	陈情表	2
矜育	jīn yù	写	词典	怜惜养育	课本	伏惟圣朝以孝治天下，凡在故老，犹蒙{矜育}，况臣孤苦，特为尤甚。	陈情表	2
石扉	shí fēi	写	词典	石洞的口。形似大门敞开，故称。亦借指隐者所居之门	新华	洞天{石扉}，訇然中开。	梦游天姥吟留别	2
砧子	zhēn zi	写	词典			父亲告诉他：“{砧子}。”	百年孤独（节选）	2
硿硿	kōng kōng	写	词典	象声词。击金石声	新华	寺僧使小童持斧，于乱石间择其一二扣之，{硿硿}焉。	石钟山记	2
禁锢	jìn gù	写	词典			“四人帮”都设置了不少{禁锢}人们思想的“禁区”	实践是检验真理的唯一标准	2
禹谟	yǔ mó	写	词典	大禹治国的方略	新华			2
穷厄	qióng è	写	词典	困顿	课本	其冬，丁令盗武牛羊，武复{穷厄}。	苏武传	2
穹宇	qióng yǔ	写	词典	天宇;天空；拱形的屋宇。指洞壑	新华	又如天坛皇{穹宇}与罗马的布拉曼提所	中国建筑的特征	2
窈陷	yǎo xiàn	写	词典	深凹	新华	这一回她的变化非常大，第二天，不但眼睛{窈陷}下去，连精神也更不济了。	祝福	2
窾坎镗鞳	kuǎn kǎn tāng tà	都考	课本	窾坎，击物声	课本	与风水相吞吐，有{窾坎镗鞳}之声	石钟山记	2
筋疲力尽	jīn pí lì jìn	读	成语	筋筋骨；尽完。形容非常疲乏，一点力气也没有了	成语	涨红了脸，{筋疲力尽}	装在套子里的人	2
箜篌引	kōng hóu yǐn	写	词典	乐府《相和六引》之一。亦名《公无渡河》	新华			2
纸鸢	zhǐ yuān	写	词典	即风筝	新华	重阳登高（南方并放{纸鸢}）	第四单元	2
纺缴	fǎng zhuó	读	课本	纺制系在箭尾的丝绳	课本	武能网{纺缴}，檠弓弩，於靬王爱之，给其衣食。	苏武传	2
绣腰襦	xiù yāo rú	都考	课本	绣花的齐腰短袄	课本	妾有{绣腰襦}，葳蕤自生光	孔雀东南飞并序	2
绫罗绸缎	líng luó chóu duàn	写	成语	泛指各种精美的丝织品	成语	你看，姑娘一过门，吃的是珍馐美味，穿的是{绫罗绸缎}，这不是造化吗？	茶馆（节选）	2
缦立	màn lì	写	词典	久立	课本	一肌一容，尽态极妍，{缦立}远视，而望幸焉。	阿房宫赋	2
缨子	yīng zi	写	词典	系在衣帽或器物上的穗状饰物；像缨子的东西。多指萝卜、芥菜等的叶	新华			2
缪公	mù gōng	都考	课本	即秦穆公	课本	此五子者，不产于秦，而{缪公}用之，并国二十，遂霸西戎。	谏逐客书	2
罅隙	xià xì	写	词典	缝隙;裂缝；嫌隙	新华	我升到了绝岩上的{罅隙}中的巢穴。	自己之歌（节选）	2
罗绮	luó qǐ	写	词典	绫罗绸缎	课本	市列珠玑，户盈{罗绮}，竞豪奢。	望海潮	2
罪愆	zuì qiān	写	词典	罪过；过失自招罪愆	新华	（唱）【快活三】念窦娥葫芦提当{罪愆}，念窦娥身首不完全，念窦	窦娥冤（节选）	2
