# 词 	 拼音 	 题型 	 词源 	 释义 	 释义来源 	 例句 	 例句出处 	 课本里出现次数
恻隐之心	cè yǐn zhī xīn	写	成语	恻隐对别人的不幸表示同情。形容对人寄予同情	成语	皆有怵惕{恻隐之心}	人皆有不忍人之心	5
斜睨	xié nì	写	词典	斜视	新华	她一动不动地站着，{斜睨}的目光盯住他不放。	复活（节选）	5
汲取	jí qǔ	写	词典	吸取～经验ㄧ～营养	新华	它{汲取}雨中的生命就像果园里的黑鹂雨停歇。	树和天空	5
狼居胥	láng jū xū	写	词典	山名『元狩四年(公元前119年)霍去病出代郡塞击败匈奴，封狼居胥山	新华	元嘉草草，封{狼居胥}，赢得仓皇北顾。	永遇乐·京口北固亭怀古	5
皎洁	jiǎo jié	写	词典	（月亮等）明亮而洁白	新华	我连那一轮{皎洁}的月亮，也憎恶起来了。	百合花	5
睿智	ruì zhì	写	词典	亦作睿知；聪慧;明智	新华	{睿智}犀利而又妙趣横生。	上图书馆	5
磐石	pán shí	写	词典	厚而大的石头	课本	君当作{磐石}，妾当作蒲苇，蒲苇纫如丝，磐石无转移。	孔雀东南飞并序	5
纷纭	fēn yún	写	词典	（言论、事情等）多而杂乱头绪～ㄧ众说～，莫衷一是	新华	新妇谓府吏：“勿复重{纷纭}。	孔雀东南飞并序	5
编纂	biān zuǎn	写	词典	编辑（多指资料较多、篇幅较大的著作）～词典ㄧ～百科全书	新华	基佐以及1850年以前英国所有的历史{编纂}学家则表明	社会历史的决定性基础	5
缜密	zhěn mì	写	词典	细致;周密	新华	可以使思维更{缜密}	第四单元	5
羞恶	xiū wù	读	课本	对自身的不善感到羞耻，对他人的不善感到憎恶	课本	恻隐之心，仁之端也；{羞恶}之心，义之端也；辞让之心，礼之端也；是非之心，智之端也。	人皆有不忍人之心	5
肺腑	fèi fǔ	写	词典			倘若没有发自{肺腑}	以工匠精神雕琢时代品质	5
舞雩	wǔ yú	写	词典	古代求雨时举行的伴有乐舞的祭祀；指舞雩台	新华	曰：“莫春者，春服既成，冠者五六人，童子六七人，浴乎沂，风乎{舞雩}，咏而归。”	子路、曾皙、冉有、公西华侍坐	5
芍药	sháo yào	写	词典	双子叶植物，芍药科。多年生草本。羽状复叶。花大，粉红、紫红、黄、白等色，有芳香	新华	中药提取的{芍药}苷等被用于防止经皮冠状动脉介入治疗后的血管再狭窄，临床显示再狭窄率大幅降低。	青蒿素：人类征服疾病的一小步	5
褴褛	lán lǚ	写	词典	亦作?褛。亦作?缕；形容衣服破烂	新华	我的穿着变得更加{褴褛}了	大卫·科波菲尔（节选）	5
诠释	quán shì	写	词典			{诠释}了伟大抗疫精神。	第一单元	5
诧异	chà yì	写	词典	惊异令人诧异	新华	几个人{诧异}的对他看。	阿Q正传（节选）	5
谗言	chán yán	写	词典	说坏话毁谤人。亦指坏话，挑拨离间的话	新华	我不喜欢那些背地里进{谗言}的人。”	装在套子里的人	5
跌宕	diē dàng	写	词典			奏响了一篇篇{跌宕}起伏的演化乐章	“探界者”钟扬	5
邯郸	hán dān	写	词典	古地名。今河北省邯郸市。春秋时，卫地，后属晋	新华	洎牧以谗诛，{邯郸}为郡，惜其用武而不终也。	六国论	5
锭子	dìng zi	写	词典	纱锭	新华	{锭子}还不到两万，可是三十年之后	包身工	5
骊山	lí shān	写	词典	在陕西省临潼县东南。因山形似骊马，呈纯青色而得名	新华	{骊山}北构而西折，直走咸阳。	阿房宫赋	5
丞相	chéng xiàng	都考	词典	官名。战国时始设，为百官之长	新华	{丞相}祠堂何处寻？	蜀相	4
于嗟	yú jiē	写	词典	感叹词	课本	{于嗟}鸠兮，无食桑葚！	氓	4
伶仃	líng dīng	写	词典			我的处境这样孤苦{伶仃}，也就对这家人产生了深厚的感情。	大卫·科波菲尔（节选）	4
修禊	xiū xì	都考	课本	古代民俗，于农历三月上旬的巳日（三国魏以后始固定为三月初三）到水边嬉戏，以祓除不祥，称为“修禊”	课本	永和九年，岁在癸丑，暮春之初，会于会稽山阴之兰亭，{修禊}事也。	兰亭集序	4
卮酒	zhī jiǔ	写	词典	犹言杯酒	新华	樊哙曰：“臣死且不避，{卮酒}安足辞！	鸿门宴	4
哗众取宠	huá zhòng qǔ chǒng	读	成语	以浮夸的言论迎合群众，骗取群众的信赖和支持	成语	然惑者既失精微，而辟者又随时扬抑，违离道本，苟以{哗众取宠}。	《汉书·艺文志》	4
啾啾	jiū jiū	写	词典	象声词，形容许多小鸟一齐叫的声音。也形容凄厉的叫声	新华	这{啾啾}声可把格里高尔搞得晕头转向。	变形记（节选）	4
喽啰	lóu luō	写	词典	亦作喽罗；伶俐能干;有本领	新华	真像个山上的{喽啰}！”	边城（节选）	4
嗟乎	jiē hū	写	词典	亦作嗟呼。亦作嗟虖；叹词。表示感叹	新华	陵见其至诚，喟然叹曰：“{嗟乎}，义士！	苏武传	4
噌吰	chēng hóng	都考	课本	形容钟鼓的声音	课本	与向之{噌吰}者相应	石钟山记	4
垣墙	yuán qiáng	写	词典	用作动词，砌上垣墙	课本	前辟四窗，{垣墙}周庭，以当南日，日影反照，室始洞然。	项脊轩志	4
奎宁	kuí níng	写	词典	药名。是从金鸡纳树等植物的皮中提制出来的白色结晶或无定形粉末，有苦味	新华	休克、{奎宁}、吗啡	第八单元	4
妞儿	niū er	写	词典	女儿;女孩子	新华	这大概就是她的小{妞儿}。	党费	4
姜夔	jiāng kuí	写	词典					4
孰与	shú yǔ	写	词典	何如。两者相比，择其一从天而颂之，孰与制天命而用?	新华	沛公曰：“{孰与}君少长？”	鸿门宴	4
寒暄	hán xuān	写	词典			{寒暄}之后，就赔罪	祝福	4
峥嵘	zhēng róng	写	词典	不平凡、不寻常	课本	忆往昔{峥嵘}岁月稠。	沁园春·长沙	4
张岱	zhāng dài	写	词典					4
怅然	chàng rán	写	词典			{怅然}遥相望，知是故人来。	孔雀东南飞并序	4
扣舷	kòu xián	写	词典	敲着船边，指打着节拍	课本	{扣舷}独啸，不知今夕何夕！	念奴娇·过洞庭	4
曹禺	cáo yú	写	词典					4
桑葚	sāng shèn	都考	词典	桑树的果实。味甜可食。中医亦以入药	新华	于嗟鸠兮，无食{桑葚}！	氓	4
毡笠	zhān lì	写	词典	亦作毡笠；毡制的笠帽	新华	取{毡笠}子戴上，拿了钥匙	林教头风雪山神庙	4
洴澼	píng pì	写	词典	漂洗	课本	宋人有善为不龟手之药者，世世以{洴澼}絖为事。	五石之瓠	4
深邃	shēn suì	写	词典	①幽深庭院深邃｜深邃的林子。②精深；深奥深邃的哲理｜文字深邃。③深沉深邃的目光	新华	{深邃}的思想、多样的人生	第三单元	4
烽火	fēng huǒ	写	词典	①古时边防报警点的烟火。②比喻战火或战争～连天	新华	四十三年，望中犹记，{烽火}扬州路。	永遇乐·京口北固亭怀古	4
玳瑁	dài mào	写	词典			足下蹑丝履，头上{玳瑁}光。	孔雀东南飞并序	4
白芷	bái zhǐ	写	词典	伞形科。多年生草本。根粗大，圆锥形。叶卵圆形至三角形。花白色。果实椭圆形	新华			4
盘桓	pán huán	写	词典	犹疑不决的样子	课本	景翳翳以将入，抚孤松而{盘桓}。	归去来兮辞并序	4
直抒胸臆	zhí shū xiōng yì	写	成语	胸臆胸腔，内心，引申为心意。直率地抒发自己的思想感情	成语	第十回杜公七律，正以其负力之大，寄悰之深，能{直抒胸臆}，广酬事物之变而无碍。	《唐音癸签》	4
窸窸窣窣	xī xī sū sū	写	词典			杨树林{窸窸窣窣}地响着	哦，香雪	4
籼稻	xiān dào	写	词典	粳稻之早熟者	新华	被评为全国优质{籼稻}米。	喜看稻菽千重浪	4
